layer,neuron_index,activation,feature_type
3,1297,2.645723909139633,cook
3,1665,1.5170585632324218,cook
0,1122,1.497840619087219,cook
1,1369,1.4520554065704343,cook
3,1115,1.4488437294960022,cook
2,1680,1.396847176551819,cook
3,1929,1.28018097281456,cook
3,1620,1.252786540985107,cook
3,488,1.2129051566123965,cook
3,1476,1.0777533292770385,cook
3,773,1.066085398197174,cook
3,787,0.9872753083705902,cook
3,1434,0.9760961413383484,cook
3,2038,0.9405400633811952,cook
3,943,0.8881404906511307,cook
3,252,0.853118172287941,cook
3,1483,0.7695671141147613,cook
2,958,0.7401270627975464,cook
3,1459,0.7179898083209991,cook
2,229,0.7009952187538147,cook
3,411,0.694702422618866,cook
3,1523,0.6899867057800293,cook
2,1199,0.6695750594139099,cook
3,108,0.6652625560760498,cook
3,893,0.6272340774536133,cook
3,1550,0.6251378774642944,cook
3,1205,0.6176797211170196,cook
3,1676,0.6071546733379364,cook
3,34,0.5687056005001068,cook
3,558,0.5532078266143798,cook
3,1950,0.5483966529369354,cook
3,2013,0.5404614686965943,cook
2,1613,0.537202257104218,cook
1,1055,0.5237456977367401,cook
1,823,0.5215601801872254,cook
2,711,0.5120574831962585,cook
3,83,0.5070664644241333,cook
3,818,0.4954411655664444,cook
3,977,0.4897558689117431,cook
2,2005,0.4896201193332672,cook
3,1298,0.4877401858568191,cook
3,1399,0.4851179003715515,cook
3,1142,0.4765239790081977,cook
3,2024,0.4764796316623688,cook
3,1089,0.4739696204662323,cook
3,154,0.4664693892002106,cook
3,1631,0.4443256258964538,cook
3,835,0.4427147150039673,cook
3,583,0.4407329678535461,cook
3,1008,0.4398703157901764,cook
3,1605,2.651665449142456,nba
3,1294,2.430838894844056,nba
3,1487,2.172222900390625,nba
3,2038,1.6428155422210693,nba
3,1665,1.5889735460281371,nba
0,1122,1.5503443241119386,nba
1,1369,1.4747777700424194,nba
2,1680,1.4485213041305542,nba
3,1965,1.3637724280357362,nba
2,958,0.8787538647651673,nba
3,1193,0.8759048461914063,nba
3,410,0.8203662097454071,nba
3,1023,0.812407523393631,nba
3,373,0.8030009865760803,nba
3,689,0.7709127068519592,nba
3,708,0.7345623672008514,nba
3,1940,0.722048032283783,nba
2,229,0.7138271927833557,nba
3,335,0.6665472269058228,nba
2,1199,0.6438925623893738,nba
3,897,0.6399676620960235,nba
3,1511,0.6315517425537109,nba
3,1379,0.6221969187259674,nba
3,411,0.596913069486618,nba
2,711,0.5893378496170044,nba
1,823,0.5870736241340637,nba
1,1055,0.5837198317050933,nba
3,1362,0.5836871981620788,nba
3,1391,0.5782563269138337,nba
